id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJP0UWUA9sEg0RuJoxZuLavLs,https://www.google.com/maps/place/?q=place_id:ChIJP0UWUA9sEg0RuJoxZuLavLs,Sevilla Gym,Gym,"C. Amor de Dios, 35, Casco Antiguo, 41002 Sevilla, Spain",681 96 61 09,+34 681 96 61 09,instagram.com,https://instagram.com/sevillagym_oficial?utm_medium=copy_link,"37.3958503,-5.994440399999999",4.3,,Gym in Seville Spain
ChIJD6RGzE9pEg0RJmWVq_nh2j0,https://www.google.com/maps/place/?q=place_id:ChIJD6RGzE9pEg0RJmWVq_nh2j0,Sevilla Century Fitness Gym,Gymnastics center,"Av. del Alcalde Manuel del Valle, 50, Norte, 41015 Sevilla, Spain",691 84 08 73,+34 691 84 08 73,centuryfitness.es,https://www.centuryfitness.es/?utm_source=google-mybusiness&utm_medium=local-pack&utm_campaign=website,"37.4127951,-5.9724556",4.8,,Gym in Seville Spain
ChIJhe4R9Y1uEg0Rx05zewuwzwA,https://www.google.com/maps/place/?q=place_id:ChIJhe4R9Y1uEg0Rx05zewuwzwA,Dreamfit gym Sevilla,Gym,"Av. Ronda del Tamarguillo, 27, 41006 Sevilla, Spain",,,dreamfit.es,https://www.dreamfit.es/centros/sevilla,"37.370939199999995,-5.9660543",4.2,,Gym in Seville Spain
ChIJVSm88aJuEg0RO0sc8gW6xig,https://www.google.com/maps/place/?q=place_id:ChIJVSm88aJuEg0RO0sc8gW6xig,Club Metropolitan Sevilla,Fitness center,"Av. Eduardo Dato, 49, 41018 Sevilla, Spain",954 98 72 20,+34 954 98 72 20,clubmetropolitan.com,http://clubmetropolitan.com/gimnasio/sevilla/sevilla,"37.3835463,-5.975071",4.1,,Gym in Seville Spain
ChIJm7VU5hpsEg0RFivDY_ihL7s,https://www.google.com/maps/place/?q=place_id:ChIJm7VU5hpsEg0RFivDY_ihL7s,Areafit Cuesta del Rosario,Gymnastics center,"Cta. del Rosario, 8, Casco Antiguo, 41004 Sevilla, Spain",955 06 97 23,+34 955 06 97 23,cuestasport.com,https://www.cuestasport.com/%20%20https://www.areafit.es/cuesta,"37.3895549,-5.9916442",4.4,,Gym in Seville Spain
ChIJUQOHeDxtEg0RCvjQ705fh50,https://www.google.com/maps/place/?q=place_id:ChIJUQOHeDxtEg0RCvjQ705fh50,YO10 Sport Club Sevilla,Fitness center,"Torre Sevilla Calle Gonzalo Jiménez de Quesada, C.C. Torre-Sevilla, 2, Planta - local 79, 41092 Sevilla, Spain",955 75 41 85,+34 955 75 41 85,yodiez.com,https://www.yodiez.com/centro/sevilla.html,"37.392807999999995,-6.009665999999999",4.8,,Gym in Seville Spain
ChIJ2dkBjGttEg0R83w8YkoIjBA,https://www.google.com/maps/place/?q=place_id:ChIJ2dkBjGttEg0R83w8YkoIjBA,Basic-Fit,Gym,"C. Tarifa, 8, Casco Antiguo, 41002 Sevilla, Spain",851 96 04 67,+34 851 96 04 67,basic-fit.com,https://www.basic-fit.com/es-es/clubs/basic-fit-sevilla-calle-tarifa-939ae450c73d489384368728b66ab84d.html?utm_medium=yext&utm_source=gmb,"37.393248199999995,-5.9951759",4.7,,Gym in Seville Spain
ChIJwxjAMb1pEg0Rsc64LuClHfs,https://www.google.com/maps/place/?q=place_id:ChIJwxjAMb1pEg0Rsc64LuClHfs,Fitness Park Sevilla - Villalobos,Gymnastics center,"Manuel Villalobos, 31, 41009 Sevilla, Spain",681 87 26 64,+34 681 87 26 64,fitnesspark.es,https://www.fitnesspark.es/club/sevilla-manuel-de-villalobos/,"37.405392299999995,-5.981736799999999",4.7,,Gym in Seville Spain
ChIJSRQWButtEg0R16N7HTytdtU,https://www.google.com/maps/place/?q=place_id:ChIJSRQWButtEg0R16N7HTytdtU,Basic-Fit,Gym,"C. Francos, 40, Casco Antiguo, 41004 Sevilla, Spain",851 96 04 67,+34 851 96 04 67,basic-fit.com,https://www.basic-fit.com/es-es/clubs/basic-fit-sevilla-calle-francos-23b850fd9614469981d0aadcc66cccf3.html?utm_medium=yext&utm_source=gmb,"37.3879616,-5.9929784",4.7,,Gym in Seville Spain
ChIJIXwWZS1tEg0RalR3Mb18FYU,https://www.google.com/maps/place/?q=place_id:ChIJIXwWZS1tEg0RalR3Mb18FYU,Synergym Sevilla Triana Tejares,Gym,"Ronda de los Tejares, 29, 41010 Sevilla, Spain",,,synergym.es,https://synergym.es/sevilla-vega-de-triana/,"37.3845798,-6.0134358",4.8,,Gym in Seville Spain
ChIJBcZXdiFvEg0RgKl7hjXEvNg,https://www.google.com/maps/place/?q=place_id:ChIJBcZXdiFvEg0RgKl7hjXEvNg,Synergym Sevilla La Rosaleda,Gym,"Ctra. de Carmona, 40, 41008 Sevilla, Spain",,,synergym.es,https://synergym.es/sevilla-la-rosaleda/,"37.4012603,-5.9741792",4.7,,Gym in Seville Spain
ChIJs27olrtuEg0RqLjw1pA7WeY,https://www.google.com/maps/place/?q=place_id:ChIJs27olrtuEg0RqLjw1pA7WeY,Gym Family Fitness,Gymnastics center,"C. Alonso Carrillo, 24, 41007 Sevilla, Spain",954 57 92 59,+34 954 57 92 59,,,"37.3880473,-5.9690704",4.7,,Gym in Seville Spain
ChIJra48IZ1pEg0Rd4bz2BX8XeE,https://www.google.com/maps/place/?q=place_id:ChIJra48IZ1pEg0Rd4bz2BX8XeE,Masmusculo SUPERGYM Sevilla,Gymnastics center,"C. Metalurgia, C. Bronce, 15 Esquina, 41007 Sevilla, Spain",958 87 23 82,+34 958 87 23 82,masmusculo.fit,https://masmusculo.fit/sevilla/,"37.4077483,-5.9574152",4.6,,Gym in Seville Spain
ChIJo9E_BYVtEg0RcP0iN1NF4u8,https://www.google.com/maps/place/?q=place_id:ChIJo9E_BYVtEg0RcP0iN1NF4u8,Basic-Fit,Gym,"C. Pagés del Corro, 142, 41010 Sevilla, Spain",851 96 04 67,+34 851 96 04 67,basic-fit.com,https://www.basic-fit.com/es-es/clubs/basic-fit-sevilla-calle-pag%C3%A9s-del-corro-ecf1c1f14de94021bb4d4d2995e9e4a0.html?utm_medium=yext&utm_source=gmb,"37.3818638,-6.0015025",4.8,,Gym in Seville Spain
ChIJ5Zi9rqhuEg0RmsYBTmKMZ20,https://www.google.com/maps/place/?q=place_id:ChIJ5Zi9rqhuEg0RmsYBTmKMZ20,GOfit Sevilla,Gymnastics center,"Av. José Laguillo, 41003 Sevilla, Spain",911 19 02 02,+34 911 19 02 02,go-fit.es,https://go-fit.es/centros/go-fit-sevilla/?utm_source=google-mb&utm_medium=organic&utm_campaign=sevilla,"37.3923716,-5.978629199999999",4.1,,Gym in Seville Spain
ChIJN-9moJltEg0R9BcFQbbCQGw,https://www.google.com/maps/place/?q=place_id:ChIJN-9moJltEg0R9BcFQbbCQGw,Basic-Fit,Gym,"Av. Juan Pablo II, 1, 41011 Sevilla, Spain",851 96 04 67,+34 851 96 04 67,basic-fit.com,https://www.basic-fit.com/es-es/clubs/basic-fit-sevilla-avenida-juan-pablo-ii-66b223e83a784f8bb2008709ece17d9e.html?utm_medium=yext&utm_source=gmb,"37.367733,-5.9992632",4.7,,Gym in Seville Spain
ChIJbVZvXNlvEg0RmHUZk3O0k8w,https://www.google.com/maps/place/?q=place_id:ChIJbVZvXNlvEg0RmHUZk3O0k8w,Synergym Sevilla Nervión,Gym,"C. Benito Mas y Prat, 8, 41005 Sevilla, Spain",,,synergym.es,https://www.synergym.es/sevilla-nervion/,"37.385613,-5.9715167",4.7,,Gym in Seville Spain
ChIJe36OYplvEg0R4gs6DfKaeYQ,https://www.google.com/maps/place/?q=place_id:ChIJe36OYplvEg0R4gs6DfKaeYQ,Basic-Fit,Gym,"C. Luis Montoto, 132, 41005 Sevilla, Spain",851 96 04 67,+34 851 96 04 67,basic-fit.com,https://www.basic-fit.com/es-es/clubs/basic-fit-sevilla-luis-montoto-88280633f3834211a6fb584988ab9ef9.html?utm_medium=yext&utm_source=gmb,"37.387259,-5.969990999999999",4.5,,Gym in Seville Spain
ChIJdSxPGKVuEg0R9A40hSUbIpE,https://www.google.com/maps/place/?q=place_id:ChIJdSxPGKVuEg0R9A40hSUbIpE,Basic-Fit,Gym,"Av. de Kansas City, s/n, 41007 Sevilla, Spain",851 96 04 67,+34 851 96 04 67,basic-fit.com,https://www.basic-fit.com/es-es/clubs/basic-fit-sevilla-c.-monte-tabor-657b0f9fe129443c9f789f01b2730c15.html?utm_medium=yext&utm_source=gmb,"37.3898268,-5.9737982",4.5,,Gym in Seville Spain
ChIJF8j8p61uEg0RqZynoukKrJc,https://www.google.com/maps/place/?q=place_id:ChIJF8j8p61uEg0RqZynoukKrJc,Viding La Rosaleda,Gym,"C. Maestro Solano, s/n, 41008 Sevilla, Spain",954 54 64 41,+34 954 54 64 41,viding.es,https://viding.es/viding-sevilla-rosaleda,"37.400227199999996,-5.9751658999999995",4.1,,Gym in Seville Spain
